Team,Interceptions,Sacks,Sack Yards,Fumbles
Washington Commanders,15,43,305,10
Tampa Bay Buccaneers,12,23,154,3
Seattle Seahawks,7,46,383,4
San Francisco 49ers,14,33,216,5
Los Angeles Chargers,15,31,214,3
Pittsburgh Steelers,11,38,239,0
Arizona Cardinals,11,39,343,16
Philadelphia Eagles,10,31,181,6
New York Jets,20,53,418,1
New York Giants,20,38,267,4
New Orleans Saints,13,37,251,2
New England Patriots,13,28,241,7
Minnesota Vikings,7,30,212,6
Miami Dolphins,14,40,285,5
Las Vegas Raiders,14,40,241,9
Los Angeles Rams,18,31,251,3
Kansas City Chiefs,13,28,146,8
Jacksonville Jaguars,17,32,238,6
Indianapolis Colts,8,32,227,7
Houston Texans ,15,44,325,5
Tennesse Titans,14,47,327,9
Green Bay Packers,7,33,211,5
Detroit Lions,14,36,286,6
Denver Broncos,9,40,263,7
Dallas Cowboys,11,33,163,8
Cleveland Browns,14,49,299,5
Cincinnati Bengals,14,55,403,2
Chicago Bears,20,58,428,5
Carolina Panthers,21,52,334,10
Buffalo Bills,16,27,166,8
Baltimore Ravens,18,57,306,7
Atlanta Falcons,15,40,274,9
